tr(Mrho),entanglement,count
-0.99,0,0
-0.99,1,0
-0.97,0,0
-0.97,1,0
-0.95,0,0
-0.95,1,0
-0.93,0,0
-0.93,1,0
-0.91,0,0
-0.91,1,0
-0.89,0,0
-0.89,1,0
-0.87,0,0
-0.87,1,0
-0.85,0,0
-0.85,1,0
-0.83,0,0
-0.83,1,0
-0.81,0,0
-0.81,1,0
-0.79,0,0
-0.79,1,0
-0.77,0,0
-0.77,1,0
-0.75,0,0
-0.75,1,0
-0.73,0,0
-0.73,1,0
-0.71,0,0
-0.71,1,0
-0.69,0,0
-0.69,1,0
-0.67,0,0
-0.67,1,0
-0.65,0,0
-0.65,1,0
-0.63,0,0
-0.63,1,0
-0.61,0,0
-0.61,1,0
-0.59,0,0
-0.59,1,0
-0.57,0,0
-0.57,1,0
-0.55,0,0
-0.55,1,0
-0.53,0,0
-0.53,1,0
-0.51,0,0
-0.51,1,0
-0.49,0,0
-0.49,1,0
-0.47,0,0
-0.47,1,0
-0.45,0,0
-0.45,1,0
-0.43,0,0
-0.43,1,0
-0.41,0,0
-0.41,1,0
-0.39,0,0
-0.39,1,0
-0.37,0,0
-0.37,1,0
-0.35,0,0
-0.35,1,0
-0.33,0,0
-0.33,1,0
-0.31,0,0
-0.31,1,0
-0.29,0,0
-0.29,1,0
-0.27,0,0
-0.27,1,0
-0.25,0,0
-0.25,1,0
-0.23,0,0
-0.23,1,0
-0.21,0,0
-0.21,1,0
-0.19,0,0
-0.19,1,0
-0.17,0,0
-0.17,1,0
-0.15,0,0
-0.15,1,0
-0.13,0,0
-0.13,1,0
-0.11,0,0
-0.11,1,0
-0.09,0,0
-0.09,1,0
-0.07,0,0
-0.07,1,0
-0.05,0,0
-0.05,1,0
-0.03,0,0
-0.03,1,0
-0.01,0,0
-0.01,1,0
0.01,0,3
0.01,1,26
0.03,0,156
0.03,1,787
0.05,0,898
0.05,1,2850
0.07,0,1864
0.07,1,4032
0.09,0,1783
0.09,1,3462
0.11,0,855
0.11,1,2008
0.13,0,144
0.13,1,891
0.15,0,0
0.15,1,218
0.17,0,0
0.17,1,23
0.19,0,0
0.19,1,0
0.21,0,0
0.21,1,0
0.23,0,0
0.23,1,0
0.25,0,0
0.25,1,0
0.27,0,0
0.27,1,0
0.29,0,0
0.29,1,0
0.31,0,0
0.31,1,0
0.33,0,0
0.33,1,0
0.35,0,0
0.35,1,0
0.37,0,0
0.37,1,0
0.39,0,0
0.39,1,0
0.41,0,0
0.41,1,0
0.43,0,0
0.43,1,0
0.45,0,0
0.45,1,0
0.47,0,0
0.47,1,0
0.49,0,0
0.49,1,0
0.51,0,0
0.51,1,0
0.53,0,0
0.53,1,0
0.55,0,0
0.55,1,0
0.57,0,0
0.57,1,0
0.59,0,0
0.59,1,0
0.61,0,0
0.61,1,0
0.63,0,0
0.63,1,0
0.65,0,0
0.65,1,0
0.67,0,0
0.67,1,0
0.69,0,0
0.69,1,0
0.71,0,0
0.71,1,0
0.73,0,0
0.73,1,0
0.75,0,0
0.75,1,0
0.77,0,0
0.77,1,0
0.79,0,0
0.79,1,0
0.81,0,0
0.81,1,0
0.83,0,0
0.83,1,0
0.85,0,0
0.85,1,0
0.87,0,0
0.87,1,0
0.89,0,0
0.89,1,0
0.91,0,0
0.91,1,0
0.93,0,0
0.93,1,0
0.95,0,0
0.95,1,0
0.97,0,0
0.97,1,0
0.99,0,0
0.99,1,0
